fecha,mensaje
04/08/2021,La ensalada no me gusta
04/08/2021,El salmón sí que ha estado delicioso
04/08/2021,Muy agradecido por tan suculenta comida
05/08/2021,Estoy aburrido porque no tengo planes de fiesta
05/08/2021,"Nadie me motiva, tampoco mi novio"
05/08/2021,ayer estaba contenta por la fiesta
05/08/2021,"hace un año murió mi madre, yo estoy bastante triste"
06/08/2021,"encima, mi novio es muy malo, me pega"
06/08/2021,no me encuentro cómoda aquí
06/08/2021,tengo miedo a hablar más de la cuenta
06/08/2021,"tengo mucha angustia, temo que me pase algo"
07/08/2021,muy agradecida por el apoyo de mi amiga
07/08/2021,estoy viendo una película muy graciosa en el cine
07/08/2021,¿podrías acompañarme al piso? Volver sola me da pánico
08/08/2021,mi pareja me volvió a amenazar anoche
08/08/2021,"no pude dormir más de dos horas por su culpa, muchos nervios tuve"
09/08/2021,"tengo mucho miedo, me quiero suicidar"
